127.0.0.1 - - [04/Dec/2020:21:04:32 +0000] "GET / HTTP/1.1" 404 962
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:04:36 +0000] "GET /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 5584
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:04:36 +0000] "GET /Farmacia/faces/javax.faces.resource/theme.css?ln=primefaces-start HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:04:36 +0000] "GET /Farmacia/faces/pages/RES_NOT_FOUND HTTP/1.1" 500 2831
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:04:36 +0000] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css;jsessionid=66A5F99C46500C367F0EFD67F240502C?ln=primefaces&v=4.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:04:36 +0000] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery.js;jsessionid=66A5F99C46500C367F0EFD67F240502C?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:04:36 +0000] "GET /Farmacia/faces/javax.faces.resource/primefaces.css;jsessionid=66A5F99C46500C367F0EFD67F240502C?ln=primefaces&v=4.0 HTTP/1.1" 200 53386
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:04:36 +0000] "GET /Farmacia/faces/javax.faces.resource/primefaces.js;jsessionid=66A5F99C46500C367F0EFD67F240502C?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:04:36 +0000] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=66A5F99C46500C367F0EFD67F240502C?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:04:36 +0000] "GET /Farmacia/faces/javax.faces.resource/layout/layout.js;jsessionid=66A5F99C46500C367F0EFD67F240502C?ln=primefaces&v=4.0 HTTP/1.1" 200 87653
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:04:37 +0000] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_inset-hard_100_fcfdfd_1x100.png?ln=primefaces-start HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:04:37 +0000] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_gloss-wave_75_2191c0_500x100.png?ln=primefaces-start HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:04:37 +0000] "GET /Farmacia/faces/javax.faces.resource/images/ui-icons_0078ae_256x240.png?ln=primefaces-start HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:07:58 +0000] "GET /Farmacia/faces/javax.faces.resource/images/ui-icons_056b93_256x240.png?ln=primefaces-start HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:07:58 +0000] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_glass_75_79c9ec_1x400.png?ln=primefaces-start HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:16:03 +0000] "GET /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 5275
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:16:03 +0000] "GET /Farmacia/faces/pages/RES_NOT_FOUND HTTP/1.1" 500 2047
0:0:0:0:0:0:0:1 - - [04/Dec/2020:21:16:03 +0000] "GET /Farmacia/faces/javax.faces.resource/theme.css?ln=primefaces-start HTTP/1.1" 304 -
