127.0.0.1 - - [12/Jan/2021:23:30:39 +0000] "GET / HTTP/1.1" 404 962
0:0:0:0:0:0:0:1 - - [12/Jan/2021:23:30:43 +0000] "GET /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 11042
0:0:0:0:0:0:0:1 - - [12/Jan/2021:23:30:43 +0000] "GET /Farmacia/faces/pages/RES_NOT_FOUND HTTP/1.1" 500 2831
0:0:0:0:0:0:0:1 - - [12/Jan/2021:23:30:43 +0000] "GET /Farmacia/faces/javax.faces.resource/theme.css?ln=primefaces-start HTTP/1.1" 200 18502
0:0:0:0:0:0:0:1 - - [12/Jan/2021:23:30:43 +0000] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css;jsessionid=37AF6796719C10513B1EBC9C068307AD?ln=primefaces&v=4.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [12/Jan/2021:23:30:43 +0000] "GET /Farmacia/faces/javax.faces.resource/primefaces.css;jsessionid=37AF6796719C10513B1EBC9C068307AD?ln=primefaces&v=4.0 HTTP/1.1" 200 53386
0:0:0:0:0:0:0:1 - - [12/Jan/2021:23:30:43 +0000] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery.js;jsessionid=37AF6796719C10513B1EBC9C068307AD?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [12/Jan/2021:23:30:43 +0000] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=37AF6796719C10513B1EBC9C068307AD?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [12/Jan/2021:23:30:43 +0000] "GET /Farmacia/faces/javax.faces.resource/layout/layout.js;jsessionid=37AF6796719C10513B1EBC9C068307AD?ln=primefaces&v=4.0 HTTP/1.1" 200 87653
0:0:0:0:0:0:0:1 - - [12/Jan/2021:23:30:43 +0000] "GET /Farmacia/faces/javax.faces.resource/primefaces.js;jsessionid=37AF6796719C10513B1EBC9C068307AD?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [12/Jan/2021:23:30:44 +0000] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_glass_45_0078ae_1x400.png?ln=primefaces-start HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [12/Jan/2021:23:30:44 +0000] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_inset-hard_100_fcfdfd_1x100.png?ln=primefaces-start HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [12/Jan/2021:23:30:45 +0000] "GET /Farmacia/faces/javax.faces.resource/images/ui-icons_e0fdff_256x240.png?ln=primefaces-start HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [12/Jan/2021:23:30:45 +0000] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_gloss-wave_75_2191c0_500x100.png?ln=primefaces-start HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [12/Jan/2021:23:30:45 +0000] "GET /Farmacia/faces/javax.faces.resource/images/ui-icons_0078ae_256x240.png?ln=primefaces-start HTTP/1.1" 200 4369
