127.0.0.1 - - [06/Mar/2021:23:35:28 +0000] "GET / HTTP/1.1" 404 962
0:0:0:0:0:0:0:1 - - [06/Mar/2021:23:35:31 +0000] "GET /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 500 3920
0:0:0:0:0:0:0:1 - - [06/Mar/2021:23:46:30 +0000] "GET /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 500 3920
0:0:0:0:0:0:0:1 - - [06/Mar/2021:23:46:58 +0000] "GET /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 16805
0:0:0:0:0:0:0:1 - - [06/Mar/2021:23:46:58 +0000] "GET /Farmacia/faces/pages/RES_NOT_FOUND HTTP/1.1" 500 2831
0:0:0:0:0:0:0:1 - - [06/Mar/2021:23:46:58 +0000] "GET /Farmacia/faces/javax.faces.resource/theme.css?ln=primefaces-trontastic HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2021:23:46:58 +0000] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css;jsessionid=89AD42DC24F6A4065604B2AAA9366C26?ln=primefaces&v=4.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [06/Mar/2021:23:46:58 +0000] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery.js;jsessionid=89AD42DC24F6A4065604B2AAA9366C26?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [06/Mar/2021:23:46:58 +0000] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=89AD42DC24F6A4065604B2AAA9366C26?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [06/Mar/2021:23:46:58 +0000] "GET /Farmacia/faces/javax.faces.resource/primefaces.css;jsessionid=89AD42DC24F6A4065604B2AAA9366C26?ln=primefaces&v=4.0 HTTP/1.1" 200 53386
0:0:0:0:0:0:0:1 - - [06/Mar/2021:23:46:58 +0000] "GET /Farmacia/faces/javax.faces.resource/layout/layout.js;jsessionid=89AD42DC24F6A4065604B2AAA9366C26?ln=primefaces&v=4.0 HTTP/1.1" 200 87653
0:0:0:0:0:0:0:1 - - [06/Mar/2021:23:46:58 +0000] "GET /Farmacia/faces/javax.faces.resource/primefaces.js;jsessionid=89AD42DC24F6A4065604B2AAA9366C26?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [06/Mar/2021:23:46:58 +0000] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_glass_40_0a0a0a_1x400.png?ln=primefaces-trontastic HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2021:23:46:58 +0000] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_gloss-wave_55_000000_500x100.png?ln=primefaces-trontastic HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2021:23:46:59 +0000] "GET /Farmacia/faces/javax.faces.resource/images/ui-icons_b8ec79_256x240.png?ln=primefaces-trontastic HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2021:23:46:59 +0000] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_gloss-wave_85_9fda58_500x100.png?ln=primefaces-trontastic HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2021:23:46:59 +0000] "GET /Farmacia/faces/javax.faces.resource/images/ui-icons_9fda58_256x240.png?ln=primefaces-trontastic HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2021:23:50:00 +0000] "GET /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 500 3968
